Experiment Name,Run Number,Timestamp (s),Read Speed (B/s),Write Speed (B/s)
experiment,1,15.93,31188353.86,0.00
experiment,1,16.03,31181572.80,0.00
experiment,1,16.13,29905027.03,0.00
experiment,1,16.24,31112236.63,0.00
experiment,1,16.34,31181425.42,0.00
experiment,1,16.44,31144329.65,0.00
experiment,1,16.54,31190713.17,0.00
experiment,1,16.64,32479500.11,0.00
experiment,1,16.74,31197571.97,0.00
experiment,1,16.84,32405676.10,0.00
experiment,1,16.94,31197424.44,0.00
experiment,1,17.04,31198162.12,0.00
experiment,1,17.14,31215433.74,0.00
experiment,1,17.24,31215286.04,0.00
experiment,1,17.35,33780596.03,0.00
experiment,1,17.45,33834170.08,0.00
experiment,1,17.55,32511615.58,0.00
experiment,1,17.65,32507309.34,0.00
experiment,1,17.75,32477427.84,0.00
experiment,1,17.85,28582230.28,0.00
experiment,1,17.95,32549729.30,0.00
experiment,1,18.05,32556822.91,0.00
experiment,1,18.15,31259140.92,0.00
experiment,1,18.25,32570710.66,0.00
experiment,1,18.35,31259289.04,0.00
experiment,1,18.45,29924631.50,0.00
experiment,1,18.55,32524310.23,0.00
experiment,1,18.66,31258622.52,0.00
experiment,1,18.76,33844264.19,0.00
experiment,1,18.86,32565076.98,0.00
experiment,1,18.96,31229028.28,0.00
experiment,1,19.06,29968959.98,0.00
experiment,1,19.16,31253143.36,0.00
experiment,1,19.26,32559753.78,0.00
experiment,1,19.36,32568086.51,0.00
experiment,1,19.46,32548187.62,0.00
experiment,1,19.56,31205688.42,0.00
experiment,1,19.66,32500083.59,0.00
experiment,1,19.76,33852600.37,0.00
experiment,1,19.86,33801046.08,0.00
experiment,1,19.96,33858775.00,0.00
experiment,1,20.06,33872896.90,0.00
experiment,1,20.17,32531777.77,0.00
experiment,1,20.27,32559676.64,0.00
experiment,1,20.37,32550808.56,0.00
experiment,1,20.47,32565771.43,0.00
experiment,1,20.57,32569938.81,0.00
experiment,1,20.67,32558673.92,0.00
experiment,1,20.77,31236421.59,0.00
experiment,1,20.87,35160869.00,0.00
experiment,1,20.97,33868482.54,0.00
experiment,1,21.07,33827924.36,0.00
experiment,1,21.17,32545567.09,0.00
experiment,1,21.27,29926968.77,0.00
experiment,1,21.37,32541251.86,0.00
experiment,1,21.47,31233020.23,0.00
experiment,1,21.57,29961574.62,0.00
experiment,1,21.68,32544565.24,0.00
experiment,1,21.78,31184447.02,0.00
experiment,1,21.88,31248184.16,0.00
experiment,1,21.98,32533163.88,0.00
experiment,1,22.08,33851157.28,0.00
experiment,1,22.18,32547493.91,0.00
experiment,1,22.28,33711997.98,0.00
experiment,1,22.38,33867840.55,0.00
experiment,1,22.48,32545412.96,0.00
experiment,1,22.58,32548727.19,0.00
experiment,1,22.70,32062731.41,107233.22
experiment,1,22.80,29954547.70,0.00
experiment,1,22.90,31301633.94,0.00
experiment,1,23.00,31258622.52,0.00
experiment,1,23.10,28634267.73,0.00
experiment,1,23.20,31187911.52,0.00
experiment,1,23.30,32500544.71,0.00
experiment,1,23.40,32469294.85,0.00
experiment,1,23.50,31195359.13,0.00
experiment,1,23.60,31169786.68,0.00
experiment,1,23.70,32488329.38,0.00
experiment,1,23.81,29917055.61,0.00
experiment,1,23.91,31091122.21,0.00
experiment,1,24.01,15632125.89,0.00
experiment,1,24.11,22155643.99,0.00
experiment,1,24.21,23390049.02,0.00
experiment,1,24.31,31175678.63,0.00
experiment,1,24.41,31254994.22,0.00
experiment,1,24.51,33861903.27,0.00
experiment,1,24.61,33852680.55,0.00
experiment,1,24.71,33850756.44,0.00
experiment,1,24.81,32552196.29,0.00
experiment,1,24.91,33823201.57,0.00
experiment,1,25.01,32560833.71,0.00
experiment,1,25.11,32566543.09,0.00
experiment,1,25.22,32555357.67,0.00
experiment,1,25.32,32553969.67,0.00
experiment,1,25.42,32545258.83,0.00
experiment,1,25.52,31226145.84,0.00
experiment,1,25.62,33845065.57,0.00
experiment,1,25.72,33877392.70,0.00
experiment,1,25.82,32533625.94,0.00
experiment,1,25.92,32539633.94,0.00
experiment,1,26.02,33840418.11,0.00
experiment,1,26.12,32528082.07,0.00
experiment,1,26.22,32544411.12,0.00
experiment,1,26.32,32561913.71,0.00
experiment,1,26.42,32568472.39,0.00
experiment,1,26.52,32569552.89,0.00
experiment,1,26.62,32564073.92,0.00
experiment,1,26.73,32540866.63,0.00
experiment,1,26.83,33849153.18,0.00
experiment,1,26.93,33858053.18,0.00
experiment,1,27.03,32552658.89,0.00
experiment,1,27.13,33878035.06,0.00
experiment,1,27.23,32553815.46,0.00
experiment,1,27.33,32528928.93,0.00
experiment,1,27.43,33776046.07,0.00
experiment,1,27.53,31284192.65,0.00
experiment,1,27.63,32556822.91,0.00
experiment,1,27.73,32568318.03,0.00
experiment,1,27.83,31268252.73,0.00
experiment,1,27.93,33848672.24,0.00
experiment,1,28.03,33855727.50,0.00
experiment,1,28.13,33860539.60,0.00
experiment,1,28.24,33868001.05,0.00
experiment,1,28.34,33868964.05,0.00
experiment,1,28.44,32566928.93,0.00
experiment,1,28.54,32559522.38,0.00
experiment,1,28.64,32555666.13,0.00
experiment,1,28.74,31257881.99,0.00
experiment,1,28.84,32557208.52,0.00
experiment,1,28.94,32544796.43,0.00
experiment,1,29.04,32544025.81,0.00
experiment,1,29.14,33851477.96,0.00
experiment,1,29.24,33858694.80,0.00
experiment,1,29.34,29947382.22,0.00
experiment,1,29.44,32517923.20,0.00
experiment,1,29.54,32514922.93,0.00
experiment,1,29.64,32509462.32,0.00
experiment,1,29.75,28592095.40,0.00
experiment,1,29.85,32451431.91,0.00
experiment,1,29.95,31180614.85,0.00
experiment,1,30.05,31201703.46,0.00
experiment,1,30.15,31208862.37,0.00
experiment,1,30.25,32248584.77,0.00
experiment,1,30.35,31266326.22,0.00
experiment,1,30.45,31269512.51,0.00
experiment,1,30.55,31244558.27,0.00
experiment,1,30.65,31234203.23,0.00
experiment,1,30.75,31215729.15,0.00
experiment,1,30.85,31201555.88,0.00
experiment,1,30.96,29895481.81,0.00
experiment,1,31.06,29909059.07,0.00
experiment,1,31.16,31182678.21,0.00
experiment,1,31.26,29916347.78,0.00
experiment,1,31.36,29873656.79,0.00
experiment,1,31.46,29914649.12,0.00
experiment,1,31.56,33763440.30,0.00
experiment,1,31.66,32542638.78,0.00
experiment,1,31.76,33750206.40,0.00
experiment,1,31.86,32613760.69,0.00
experiment,1,31.96,32490403.03,0.00
experiment,1,32.06,32563765.30,0.00
experiment,1,32.17,32594810.85,0.00
experiment,1,32.27,31267363.54,0.00
experiment,1,32.37,32558828.18,0.00
experiment,1,32.47,31263140.58,0.00
experiment,1,32.57,31252106.98,0.00
experiment,1,32.67,35179785.69,0.00
experiment,1,32.77,32559676.64,0.00
experiment,1,32.87,33825362.69,0.00
